"name","synonym"
"kali uchis","kali uchis"
"cardi b","cardi b"
"ariana grande","ariana grande"
"justin bieber","justin bieber"
"pop smoke","pop smoke"
"bts","bts"
"the neighbourhood","the neighbourhood"
"imagine dragons","imagine dragons"
"maroon 5","maroon 5"
"ed sheeran","ed sheeran"
"jason derulo","jason derulo"
"james arthur","james arthur"
"arctic monkeys","arctic monkeys"
"sia","sia"
"coldplay","coldplay"
"xxxtentacion","xxxtentacion"
"avicii","avicii"
"twenty one pilots","twenty one pilots"
"j cole","j cole"
"michael jackson","michael jackson"
"bruno mars","bruno mars"
"foster the people","foster the people"
"the police","the police"
"anuel aa ozuna","anuel aa ozuna"
"eminem","eminem"
"selena gomez","selena gomez"
"drake","drake"
"panic at the disco","panic at the disco"
"hozier","hozier"
"melanie martinez","melanie martinez"
"onerepublic","onerepublic"
"bon jovi","bon jovi"
"tears for fears","tears for fears"
"train","train"
"one direction","one direction"
"kodaline","kodaline"
"jonas brothers","jonas brothers"
"kendrick lamar","kendrick lamar"
"sam smith","sam smith"
"calvin harris","calvin harris"
"britney spears","britney spears"
"lil tecca","lil tecca"
"linkin park","linkin park"
"shawn mendes","shawn mendes"
"elton john","elton john"
"jason mraz","jason mraz"
"lady gaga","lady gaga"
"lynyrd skynyrd","lynyrd skynyrd"
"creedence clearwater revival","creedence clearwater revival"
"bryan adams","bryan adams"
"taylor swift","taylor swift"
"vitor fernandes","vitor fernandes"
"radiohead","radiohead"
"nirvana","nirvana"
"electric light orchestra","electric light orchestra"
"5 seconds of summer","5 seconds of summer"
"mike posner","mike posner"
"outkast","outkast"
"red hot chili peppers","red hot chili peppers"
"walk the moon","walk the moon"
"fall out boy","fall out boy"
"black eyed peas","black eyed peas"
"becky g","becky g"
"the killers","the killers"
"justin timberlake","justin timberlake"
"plain white ts","plain white ts"
"kanye west","kanye west"
"neon trees","neon trees"
"miley cyrus","miley cyrus"
"papa roach","papa roach"
"guns n roses","guns n roses"
"marina","marina"
"dan shay","dan shay"
"journey","journey"
"spice girls","spice girls"
"mc zaquin","mc zaquin"
"frank ocean","frank ocean"
"alessia cara","alessia cara"
"rihanna","rihanna"
"the cranberries","the cranberries"
"daft punk","daft punk"
"christina perri","christina perri"
"dire straits","dire straits"
"vance joy","vance joy"
"mgmt","mgmt"
"abba","abba"
"evanescence","evanescence"
"hoobastank","hoobastank"
"all time low","all time low"
"public","public"
"mc hariel","mc hariel"
"the strokes","the strokes"
"of monsters and men","of monsters and men"
"carly rae jepsen","carly rae jepsen"
"flo rida","flo rida"
"nicki minaj","nicki minaj"
"taio cruz","taio cruz"
"mac miller","mac miller"
"backstreet boys","backstreet boys"
"owl city","owl city"
"the offspring","the offspring"
"ozuna","ozuna"
"tame impala","tame impala"
"lana del rey","lana del rey"
"adele","adele"
"demi lovato","demi lovato"
"21 savage","21 savage"
"green day","green day"
"alicia keys","alicia keys"
"smash mouth","smash mouth"
"3 doors down","3 doors down"
"nickelback","nickelback"
"jimmy eat world","jimmy eat world"
"u2","u2"
"van morrison","van morrison"
"metallica","metallica"
"the lumineers","the lumineers"
"my chemical romance","my chemical romance"
"sean kingston","sean kingston"
"weezer","weezer"
"avril lavigne","avril lavigne"
"rage against the machine","rage against the machine"
"ice cube","ice cube"
"snow patrol","snow patrol"
"nelly furtado","nelly furtado"
"billy joel","billy joel"
"sean paul","sean paul"
"tracy chapman","tracy chapman"
"franz ferdinand","franz ferdinand"
"corinne bailey rae","corinne bailey rae"
"portugal the man","portugal the man"
"fleetwood mac","fleetwood mac"
"foo fighters","foo fighters"
"aerosmith","aerosmith"
"scorpions","scorpions"
"troye sivan","troye sivan"
"mitski","mitski"
"bill withers","bill withers"
"luis miguel","luis miguel"
"ozzy osbourne","ozzy osbourne"
"kesha","kesha"
"dmx","dmx"
"the who","the who"
"katy perry","katy perry"
"falling in reverse","falling in reverse"
"kid cudi","kid cudi"
"john mayer","john mayer"
"europe","europe"
"lauren daigle","lauren daigle"
"system of a down","system of a down"
"ragnbone man","ragnbone man"
"george michael","george michael"
"zac brown band","zac brown band"
"empire of the sun","empire of the sun"
"leona lewis","leona lewis"
"little mix","little mix"
"black sabbath","black sabbath"
"slipknot","slipknot"
"daddy yankee","daddy yankee"
"keane","keane"
"natasha bedingfield","natasha bedingfield"
"iyaz","iyaz"
"niall horan","niall horan"
"counting crows","counting crows"
"whitney houston","whitney houston"
"sublime","sublime"
"cher","cher"
"chuck berry","chuck berry"
"sixpence none the richer","sixpence none the richer"
"the red jumpsuit apparatus","the red jumpsuit apparatus"
"lost frequencies","lost frequencies"
"don omar","don omar"
"buffalo springfield","buffalo springfield"
"skillet","skillet"
"kings of leon","kings of leon"
"tyga","tyga"
"lorde","lorde"
"soundgarden","soundgarden"
"eric clapton","eric clapton"
"gorillaz","gorillaz"
"lifehouse","lifehouse"
"james blunt","james blunt"
"jet","jet"
"carrie underwood","carrie underwood"
"50 cent","50 cent"
"muse","muse"
"vanessa carlton","vanessa carlton"
"dexys midnight runners","dexys midnight runners"
"etta james","etta james"
"m83","m83"
"destinys child","destinys child"
"travis scott","travis scott"
"pink floyd","pink floyd"
"stevie wonder","stevie wonder"
"fountains of wayne","fountains of wayne"
"incubus","incubus"
"jack johnson","jack johnson"
"the cure","the cure"
"simple minds","simple minds"
"ludmilla","ludmilla"
"alok","alok"
"bruce springsteen","bruce springsteen"
"prince","prince"
"bee gees","bee gees"
"kiss","kiss"
"sara bareilles","sara bareilles"
"birdy","birdy"
"mario","mario"
"oasis","oasis"
"hot chelle rae","hot chelle rae"
"the wanted","the wanted"
"shinee","shinee"
"soft cell","soft cell"
"pearl jam","pearl jam"
"meghan trainor","meghan trainor"
"the script","the script"
"seether","seether"
"boney m","boney m"
"johnny cash","johnny cash"
"al green","al green"
"chicago","chicago"
"kelly clarkson","kelly clarkson"
"sum 41","sum 41"
"limp bizkit","limp bizkit"
"the 1975","the 1975"
"colbie caillat","colbie caillat"
"aretha franklin","aretha franklin"
"rise against","rise against"
"paramore","paramore"
"shania twain","shania twain"
"twisted sister","twisted sister"
"chris brown","chris brown"
"heart","heart"
"natalie imbruglia","natalie imbruglia"
"madonna","madonna"
"extreme","extreme"
"marshmello","marshmello"
"the fray","the fray"
"amy winehouse","amy winehouse"
"the kooks","the kooks"
"kool the gang","kool the gang"
"exo","exo"
"bastille","bastille"
"bring me the horizon","bring me the horizon"
"jessie j","jessie j"
"shakira","shakira"
"anitta","anitta"
"yellowcard","yellowcard"
"cage the elephant","cage the elephant"
"la oreja de van gogh","la oreja de van gogh"
"nelly","nelly"
"the black keys","the black keys"
"norah jones","norah jones"
"good charlotte","good charlotte"
"hyuna","hyuna"
"the pussycat dolls","the pussycat dolls"
"cassie","cassie"
"robbie williams","robbie williams"
"thousand foot krutch","thousand foot krutch"
"alphaville","alphaville"
"mariah carey","mariah carey"
"pantera","pantera"
"drowning pool","drowning pool"
"big sean","big sean"
"no doubt","no doubt"
"florida georgia line","florida georgia line"
"roxette","roxette"
"rick james","rick james"
"rush","rush"
"the calling","the calling"
"men at work","men at work"
"declan mckenna","declan mckenna"
"the xx","the xx"
"three days grace","three days grace"
"beastie boys","beastie boys"
"rod stewart","rod stewart"
"disturbed","disturbed"
"the outfield","the outfield"
"duran duran","duran duran"
"louis armstrong","louis armstrong"
"bob dylan","bob dylan"
"jesse mccartney","jesse mccartney"
"wys","wys"
"the doors","the doors"
"bowling for soup","bowling for soup"
"iggy pop","iggy pop"
"blake shelton","blake shelton"
"andy grammer","andy grammer"
"stromae","stromae"
"ellie goulding","ellie goulding"
"cyndi lauper","cyndi lauper"
"dolly parton","dolly parton"
"nick jonas","nick jonas"
"supergrass","supergrass"
"alice cooper","alice cooper"
"jimi hendrix","jimi hendrix"
"trey songz","trey songz"
"lupe fiasco","lupe fiasco"
"young the giant","young the giant"
"marvin gaye","marvin gaye"
"the cardigans","the cardigans"
"marilyn manson","marilyn manson"
"jake owen","jake owen"
"metronomy","metronomy"
"fun","fun"
"bon iver","bon iver"
"lady a","lady a"
"two door cinema club","two door cinema club"
"cream","cream"
"rick springfield","rick springfield"
"jennifer lopez","jennifer lopez"
"meek mill","meek mill"
"pitbull","pitbull"
"frank sinatra","frank sinatra"
"miranda lambert","miranda lambert"
"stone sour","stone sour"
"camila cabello","camila cabello"
"hinder","hinder"
"dread mar i","dread mar i"
"manu chao","manu chao"
"the shins","the shins"
"usher","usher"
"korn","korn"
"mary j blige","mary j blige"
"kevin gates","kevin gates"
"aqua","aqua"
"billy idol","billy idol"
"queens of the stone age","queens of the stone age"
"the chainsmokers","the chainsmokers"
"sufjan stevens","sufjan stevens"
"nsync","nsync"
"crowded house","crowded house"
"cascada","cascada"
"macy gray","macy gray"
"megadeth","megadeth"
"matt nathanson","matt nathanson"
"christina aguilera","christina aguilera"
"elvis presley","elvis presley"
"kehlani","kehlani"
"d12","d12"
"puddle of mudd","puddle of mudd"
"creed","creed"
"juanes","juanes"
"gwen stefani","gwen stefani"
"2 chainz","2 chainz"
"rascal flatts","rascal flatts"
"inner circle","inner circle"
"saliva","saliva"
"avenged sevenfold","avenged sevenfold"
"camila","camila"
"missy elliott","missy elliott"
"alan jackson","alan jackson"
"frankie goes to hollywood","frankie goes to hollywood"
"sister sledge","sister sledge"
"ashanti","ashanti"
"tove lo","tove lo"
"bad meets evil","bad meets evil"
"band of horses","band of horses"
"peter bjorn and john","peter bjorn and john"
"julieta venegas","julieta venegas"
"ben howard","ben howard"
"brooks dunn","brooks dunn"
"five finger death punch","five finger death punch"
"dido","dido"
"blondie","blondie"
"neil young","neil young"
"the stranglers","the stranglers"
"depeche mode","depeche mode"
"luther vandross","luther vandross"
"bridgit mendler","bridgit mendler"
"a tribe called quest","a tribe called quest"
"dropkick murphys","dropkick murphys"
"queen","queen"
"enya","enya"
"breaking benjamin","breaking benjamin"
"la roux","la roux"
"lenny kravitz","lenny kravitz"
"tory lanez","tory lanez"
"fifth harmony","fifth harmony"
"lionel richie","lionel richie"
"pat benatar","pat benatar"
"will smith","will smith"
"gavin degraw","gavin degraw"
"bag raiders","bag raiders"
"kenny chesney","kenny chesney"
"reik","reik"
"hillsong united","hillsong united"
"mc neguinho do kaxeta","mc neguinho do kaxeta"
"the ronettes","the ronettes"
"glen campbell","glen campbell"
"chaka khan","chaka khan"
"peter gabriel","peter gabriel"
"chris isaak","chris isaak"
"massive attack","massive attack"
"10cc","10cc"
"audioslave","audioslave"
"fantasia","fantasia"
"afi","afi"
"akon","akon"
"mos def","mos def"
"moby","moby"
"beck","beck"
"alice in chains","alice in chains"
"cody simpson","cody simpson"
"zz top","zz top"
"kt tunstall","kt tunstall"
"the alan parsons project","the alan parsons project"
"danzig","danzig"
"mobb deep","mobb deep"
"metro station","metro station"
"brian mcknight","brian mcknight"
"soul asylum","soul asylum"
"simply red","simply red"
"rammstein","rammstein"
"busta rhymes","busta rhymes"
"craig david","craig david"
"westlife","westlife"
"new order","new order"
"joni mitchell","joni mitchell"
"nat king cole","nat king cole"
"judas priest","judas priest"
"lil wayne","lil wayne"
"faces","faces"
"jeremih","jeremih"
"mumford sons","mumford sons"
"david archuleta","david archuleta"
"the cars","the cars"
"vampire weekend","vampire weekend"
"christopher cross","christopher cross"
"sheryl crow","sheryl crow"
"ub40","ub40"
"barry manilow","barry manilow"
"ace hood","ace hood"
"america","america"
"greta van fleet","greta van fleet"
"father john misty","father john misty"
"rita ora","rita ora"
"shaggy","shaggy"
"lou reed","lou reed"
"bread","bread"
"nick drake","nick drake"
"carole king","carole king"
"chris young","chris young"
"lily allen","lily allen"
"the jam","the jam"
"ricky martin","ricky martin"
"mika","mika"
"amos lee","amos lee"
"faith no more","faith no more"
"boston","boston"
"bright eyes","bright eyes"
"stereophonics","stereophonics"
"iron wine","iron wine"
"foreigner","foreigner"
"cheap trick","cheap trick"
"the drums","the drums"
"hollywood undead","hollywood undead"
"joy division","joy division"
"cali y el dandee","cali y el dandee"
"tony dize","tony dize"
"wild cherry","wild cherry"
"simple plan","simple plan"
"travis","travis"
"the cult","the cult"
"the corrs","the corrs"
"pixies","pixies"
"inxs","inxs"
"roy orbison","roy orbison"
"duffy","duffy"
"the head and the heart","the head and the heart"
"wilco","wilco"
"tenacious d","tenacious d"
"david guetta","david guetta"
"booker t the mgs","booker t the mgs"
"def leppard","def leppard"
"the hives","the hives"
"enrique iglesias","enrique iglesias"
"mike oldfield","mike oldfield"
"vince staples","vince staples"
"wolfmother","wolfmother"
"george strait","george strait"
"godsmack","godsmack"
"sigala","sigala"
"gary moore","gary moore"
"portishead","portishead"
"keith urban","keith urban"
"mudvayne","mudvayne"
"yeah yeah yeahs","yeah yeah yeahs"
"joan jett the blackhearts","joan jett the blackhearts"
"super junior","super junior"
"keri hilson","keri hilson"
"killswitch engage","killswitch engage"
"the las","the las"
"eddie vedder","eddie vedder"
"gusttavo lima","gusttavo lima"
"iza","iza"
"sarah mclachlan","sarah mclachlan"
"hanson","hanson"
"gabriela rocha","gabriela rocha"
"tina turner","tina turner"
"deftones","deftones"
"sleeping with sirens","sleeping with sirens"
"janet jackson","janet jackson"
"barry white","barry white"
"nicky jam","nicky jam"
"bullet for my valentine","bullet for my valentine"
"war","war"
"the naked and famous","the naked and famous"
"austin mahone","austin mahone"
"ted nugent","ted nugent"
"foals","foals"
"seventeen","seventeen"
"the band perry","the band perry"
"john legend","john legend"
"damian marley","damian marley"
"the fratellis","the fratellis"
"mumuzinho","mumuzinho"
"jerry lee lewis","jerry lee lewis"
"james morrison","james morrison"
"ray j","ray j"
"staind","staind"
"digga d","digga d"
"meredith brooks","meredith brooks"
"michelle branch","michelle branch"
"toni braxton","toni braxton"
"djavan","djavan"
"kris kross","kris kross"
"skid row","skid row"
"nick cave the bad seeds","nick cave the bad seeds"
"elijah who","elijah who"
"hole","hole"
"mc livinho","mc livinho"
"shinedown","shinedown"
"leonard cohen","leonard cohen"
"thirty seconds to mars","thirty seconds to mars"
"natalia lafourcade","natalia lafourcade"
"tiago iorc","tiago iorc"
"projota","projota"
"diana ross","diana ross"
"everclear","everclear"
"mike the mechanics","mike the mechanics"
"placebo","placebo"
"cher lloyd","cher lloyd"
"theory of a deadman","theory of a deadman"
"phoenix","phoenix"
"wiz khalifa","wiz khalifa"
"calle 13","calle 13"
"kaiser chiefs","kaiser chiefs"
"desree","desree"
"steve earle","steve earle"
"jimmy cliff","jimmy cliff"
"blur","blur"
"janes addiction","janes addiction"
"ciara","ciara"
"bombay bicycle club","bombay bicycle club"
"a day to remember","a day to remember"
"311","311"
"new found glory","new found glory"
"kasabian","kasabian"
"zendaya","zendaya"
"jamiroquai","jamiroquai"
"damien rice","damien rice"
"chris tomlin","chris tomlin"
"madness","madness"
"nine inch nails","nine inch nails"
"nas","nas"
"flyleaf","flyleaf"
"dragonforce","dragonforce"
"chance the rapper","chance the rapper"
"faith hill","faith hill"
"gigi dagostino","gigi dagostino"
"turma do pagode","turma do pagode"
"jewel","jewel"
"deep purple","deep purple"
"ivy queen","ivy queen"
"armin van buuren","armin van buuren"
"elvis costello","elvis costello"
"candi staton","candi staton"
"dio","dio"
"filipe ret","filipe ret"
"alter bridge","alter bridge"
"ricky nelson","ricky nelson"
"joan osborne","joan osborne"
"santana","santana"
"billie holiday","billie holiday"
"adam lambert","adam lambert"
"pixote","pixote"
"big time rush","big time rush"
"sugababes","sugababes"
"bobby womack","bobby womack"
"the band","the band"
"baby rasta gringo","baby rasta gringo"
"cameo","cameo"
"motionless in white","motionless in white"
"brad paisley","brad paisley"
"coheed and cambria","coheed and cambria"
"flow","flow"
"little richard","little richard"
"klaxons","klaxons"
"the cab","the cab"
"charlie brown jr","charlie brown jr"
"air supply","air supply"
"james","james"
"the national","the national"
