"name","synonym"
"telepatía","telepatía"
"Up","Up"
"positions","positions"
"Hold On","Hold On"
"What You Know Bout Love","What You Know Bout Love"
"Dynamite","Dynamite"
"34+35","34+35"
"Anyone","Anyone"
"Sweater Weather","Sweater Weather"
"Life Goes On","Life Goes On"
"Believer","Believer"
"Memories","Memories"
"Film out","Film out"
"Afterglow","Afterglow"
"Take You Dancing","Take You Dancing"
"Train Wreck","Train Wreck"
"Do I Wanna Know?","Do I Wanna Know?"
"Say You Won't Let Go","Say You Won't Let Go"
"Perfect","Perfect"
"Follow You","Follow You"
"7 rings","7 rings"
"Daddy Issues","Daddy Issues"
"Snowman","Snowman"
"Yellow","Yellow"
"Hope","Hope"
"The Nights","The Nights"
"Dior","Dior"
"Stressed Out","Stressed Out"
"Why'd You Only Call Me When You're High?","Why'd You Only Call Me When You're High?"
"Photograph","Photograph"
"Thunder","Thunder"
"No Role Modelz","No Role Modelz"
"Everybody Dies In Their Nightmares","Everybody Dies In Their Nightmares"
"Billie Jean","Billie Jean"
"When I Was Your Man","When I Was Your Man"
"Pumped Up Kicks","Pumped Up Kicks"
"Every Breath You Take","Every Breath You Take"
"Moonlight","Moonlight"
"Antes","Antes"
"Without Me","Without Me"
"Lose You To Love Me","Lose You To Love Me"
"God's Plan","God's Plan"
"High Hopes","High Hopes"
"That's What I Like","That's What I Like"
"thank u, next","thank u, next"
"Love Yourself","Love Yourself"
"Take Me To Church","Take Me To Church"
"Play Date","Play Date"
"Counting Stars","Counting Stars"
"Livin' On A Prayer","Livin' On A Prayer"
"The Scientist","The Scientist"
"Everybody Wants To Rule The World","Everybody Wants To Rule The World"
"Off My Face","Off My Face"
"The Real Slim Shady","The Real Slim Shady"
"Hey, Soul Sister","Hey, Soul Sister"
"Story of My Life","Story of My Life"
"All I Want","All I Want"
"What Makes You Beautiful","What Makes You Beautiful"
"Sucker","Sucker"
"HUMBLE.","HUMBLE."
"Heathens","Heathens"
"Stay With Me","Stay With Me"
"Summer","Summer"
"Night Changes","Night Changes"
"Toxic","Toxic"
"Ransom","Ransom"
"Numb","Numb"
"Happier","Happier"
"There's Nothing Holdin' Me Back","There's Nothing Holdin' Me Back"
"Fix You","Fix You"
"I'm Still Standing","I'm Still Standing"
"I'm Yours","I'm Yours"
"Bad Romance","Bad Romance"
"Treat You Better","Treat You Better"
"Sweet Home Alabama","Sweet Home Alabama"
"Fortunate Son","Fortunate Son"
"Summer Of '69","Summer Of '69"
"Ghost","Ghost"
"cardigan","cardigan"
"Acaso","Acaso"
"Creep","Creep"
"Smells Like Teen Spirit","Smells Like Teen Spirit"
"Mr. Blue Sky","Mr. Blue Sky"
"Drag Me Down","Drag Me Down"
"Element","Element"
"Toosie Slide","Toosie Slide"
"Natural","Natural"
"Bad Liar","Bad Liar"
"Youngblood","Youngblood"
"Please Don't Go","Please Don't Go"
"Invincible","Invincible"
"Ms. Jackson","Ms. Jackson"
"Californication","Californication"
"Shut Up and Dance","Shut Up and Dance"
"Wonder","Wonder"
"Centuries","Centuries"
"Ride","Ride"
"pov","pov"
"I Gotta Feeling","I Gotta Feeling"
"Shower","Shower"
"Mr. Brightside","Mr. Brightside"
"I Wanna Be Yours","I Wanna Be Yours"
"Mirrors","Mirrors"
"Too Good At Goodbyes","Too Good At Goodbyes"
"Hey There Delilah","Hey There Delilah"
"Sugar","Sugar"
"Stronger","Stronger"
"Everybody Talks","Everybody Talks"
"I'm Not The Only One","I'm Not The Only One"
"Angels Like You","Angels Like You"
"Last Resort","Last Resort"
"Sweet Child O' Mine","Sweet Child O' Mine"
"Bubblegum Bitch","Bubblegum Bitch"
"2 Much","2 Much"
"Demons","Demons"
"Shy Away","Shy Away"
"Deserve You","Deserve You"
"Glad You Exist","Glad You Exist"
"Don't Stop Believin'","Don't Stop Believin'"
"Midnight Sky","Midnight Sky"
"Wannabe","Wannabe"
"Ô Moça","Ô Moça"
"Chanel","Chanel"
"Scars To Your Beautiful","Scars To Your Beautiful"
"November Rain","November Rain"
"Viva La Vida","Viva La Vida"
"Love On The Brain","Love On The Brain"
"Needed Me","Needed Me"
"Waiting For Love","Waiting For Love"
"Sorry","Sorry"
"Whatever It Takes","Whatever It Takes"
"18","18"
"Passionfruit","Passionfruit"
"Maps","Maps"
"You Need To Calm Down","You Need To Calm Down"
"Work Out","Work Out"
"Zombie","Zombie"
"One More Time","One More Time"
"Blank Space","Blank Space"
"Wet Dreamz","Wet Dreamz"
"Animals","Animals"
"A Thousand Years","A Thousand Years"
"You Give Love A Bad Name","You Give Love A Bad Name"
"Paradise","Paradise"
"Sultans Of Swing","Sultans Of Swing"
"Can't Stop","Can't Stop"
"Riptide","Riptide"
"champagne problems","champagne problems"
"no tears left to cry","no tears left to cry"
"Dead To Me","Dead To Me"
"Little Dark Age","Little Dark Age"
"God is a woman","God is a woman"
"Dancing Queen","Dancing Queen"
"Bring Me To Life","Bring Me To Life"
"The Reason","The Reason"
"Dear Maria, Count Me In","Dear Maria, Count Me In"
"Diamonds","Diamonds"
"R U Mine?","R U Mine?"
"505","505"
"Blue & Grey","Blue & Grey"
"Make You Mine","Make You Mine"
"Maçã Verde","Maçã Verde"
"The Adults Are Talking","The Adults Are Talking"
"Little Talks","Little Talks"
"Call Me Maybe","Call Me Maybe"
"Whistle","Whistle"
"Not Afraid","Not Afraid"
"Super Bass","Super Bass"
"Dynamite","Dynamite"
"The Spins","The Spins"
"Party In The U.S.A.","Party In The U.S.A."
"I Want It That Way","I Want It That Way"
"Fireflies","Fireflies"
"...Baby One More Time","...Baby One More Time"
"Bound 2","Bound 2"
"How Do You Sleep?","How Do You Sleep?"
"Heartless","Heartless"
"You're Gonna Go Far, Kid","You're Gonna Go Far, Kid"
"Caramelo","Caramelo"
"Borderline","Borderline"
"Young And Beautiful","Young And Beautiful"
"Someone Like You","Someone Like You"
"Steal My Girl","Steal My Girl"
"Sorry Not Sorry","Sorry Not Sorry"
"Bank Account","Bank Account"
"American Idiot","American Idiot"
"test drive","test drive"
"Somebody","Somebody"
"If I Ain't Got You","If I Ain't Got You"
"Hey Ya!","Hey Ya!"
"Basket Case","Basket Case"
"All Star","All Star"
"Kryptonite","Kryptonite"
"It's My Life","It's My Life"
"Always Remember Us This Way","Always Remember Us This Way"
"Nonstop","Nonstop"
"Self Care","Self Care"
"This Love","This Love"
"How You Remind Me","How You Remind Me"
"The Middle","The Middle"
"Tiny Dancer","Tiny Dancer"
"I Still Haven't Found What I'm Looking For","I Still Haven't Found What I'm Looking For"
"break up with your girlfriend, i'm bored","break up with your girlfriend, i'm bored"
"Galway Girl","Galway Girl"
"Mercy","Mercy"
"Snow (Hey Oh)","Snow (Hey Oh)"
"Brown Eyed Girl","Brown Eyed Girl"
"Your Song","Your Song"
"Beat It","Beat It"
"No One","No One"
"Enter Sandman","Enter Sandman"
"Ophelia","Ophelia"
"Teenagers","Teenagers"
"Nothing Else Matters","Nothing Else Matters"
"Teeth","Teeth"
"Pon de Replay","Pon de Replay"
"Gimme More","Gimme More"
"Beautiful Girls","Beautiful Girls"
"Island In The Sun","Island In The Sun"
"Complicated","Complicated"
"Killing In The Name","Killing In The Name"
"It Was A Good Day","It Was A Good Day"
"Paradise City","Paradise City"
"Kids","Kids"
"Medicine","Medicine"
"Chasing Cars","Chasing Cars"
